Model,MSE,RMSE,MAE,R²,MAPE
Ensemble,3.2441171851596855,1.8011432994516803,0.45820838952254245,0.7704916482498685,0.6379699049905964
Linear Regression,3.2486674478933444,1.8024060163829194,0.4486173700693538,0.7701697353100987,0.6224140400449722
Neural Network,3.4679274559020996,1.862237217945689,0.5938201546669006,0.7546579837799072,0.8373098447918892
XGBoost,4.189827919006348,2.0469069150809833,0.8442727327346802,0.7035863995552063,1.2136039324104786
Random Forest,4.425906900904131,2.1037839482475693,1.0465389318335607,0.6868847394068349,1.5216254249196997
